"Country or Area","Year","Value"
"Australia","1990","278154.156295787"
"Austria","1990","62145.2482884846"
"Belarus","1990","108345.055020991"
"Belgium","1990","120292.644130863"
"Bulgaria","1990","76699.1974269393"
"Canada","1990","458218.335926151"
"Croatia","1990","22979.7889577863"
"Cyprus","1990","4653.21654224293"
"Czechia","1990","164210.74843793"
"Denmark","1990","54879.3098018163"
"Estonia","1990","36922.213286462"
"European Union","1990","4470262.00872625"
"Finland","1990","56914.336831446"
"France","1990","400964.634566633"
"Germany","1990","1051979.10343184"
"Greece","1990","83438.039765697"
"Hungary","1990","73225.5355036488"
"Iceland","1990","2215.85571376301"
"Ireland","1990","32944.4202136033"
"Italy","1990","439549.839908439"
"Japan","1990","1158129.43944799"
"Latvia","1990","19661.3962255959"
"Liechtenstein","1990","198.970855799094"
"Lithuania","1990","35767.7339597809"
"Luxembourg","1990","11823.3528845117"
"Malta","1990","2394.19436192861"
"Monaco","1990","98.2283373346324"
"Netherlands","1990","161806.917092808"
"New Zealand","1990","25502.5069047171"
"Norway","1990","35096.6265858733"
"Poland","1990","376813.576614763"
"Portugal","1990","45325.0852075222"
"Romania","1990","173463.869959499"
"Russian Federation","1990","2534865.05979322"
"Slovakia","1990","61470.1873555169"
"Slovenia","1990","15094.8490368416"
"Spain","1990","231328.438644077"
"Sweden","1990","57580.0898287626"
"Switzerland","1990","44159.8819868805"
"Türkiye","1990","151664.53196389"
"Ukraine","1990","705830.043363398"
"United Kingdom","1990","602652.078445608"
"United States of America","1990","5122496.24818322"

