"Country or Area","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","2020","Kilowatt-hours, million","31.93",""
"Albania","2020","Kilowatt-hours, million","32.26",""
"Algeria","2020","Kilowatt-hours, million","665.22",""
"American Samoa","2020","Kilowatt-hours, million","5.21","1"
"Andorra","2020","Kilowatt-hours, million","2","1"
"Angola","2020","Kilowatt-hours, million","18",""
"Anguilla","2020","Kilowatt-hours, million","2.66","1"
"Antigua and Barbuda","2020","Kilowatt-hours, million","13.073","1"
"Argentina","2020","Kilowatt-hours, million","1344.589",""
"Armenia","2020","Kilowatt-hours, million","136.577",""
"Aruba","2020","Kilowatt-hours, million","11","1"
"Australia","2020","Kilowatt-hours, million","21033.194",""
"Austria","2020","Kilowatt-hours, million","2042.934",""
"Azerbaijan","2020","Kilowatt-hours, million","47.0015",""
"Bahamas","2020","Kilowatt-hours, million","2.82","1"
"Bahrain","2020","Kilowatt-hours, million","10","1"
"Bangladesh","2020","Kilowatt-hours, million","400.973",""
"Barbados","2020","Kilowatt-hours, million","68.66",""
"Belarus","2020","Kilowatt-hours, million","176",""
"Belgium","2020","Kilowatt-hours, million","5105.4",""
"Belize","2020","Kilowatt-hours, million","0.6",""
"Benin","2020","Kilowatt-hours, million","7.436",""
"Bermuda","2020","Kilowatt-hours, million","2","1"
"Bhutan","2020","Kilowatt-hours, million","0.385","1"
"Bolivia (Plur. State of)","2020","Kilowatt-hours, million","332.4",""
"Bonaire, St Eustatius, Saba","2020","Kilowatt-hours, million","7.6",""
"Bosnia and Herzegovina","2020","Kilowatt-hours, million","45",""
"Botswana","2020","Kilowatt-hours, million","6.27",""
"Brazil","2020","Kilowatt-hours, million","10750",""
"British Virgin Islands","2020","Kilowatt-hours, million","0.4","1"
"Brunei Darussalam","2020","Kilowatt-hours, million","1.545",""
"Bulgaria","2020","Kilowatt-hours, million","1480.856",""
"Burkina Faso","2020","Kilowatt-hours, million","57.152",""
"Burundi","2020","Kilowatt-hours, million","7.93",""
"Cabo Verde","2020","Kilowatt-hours, million","6.53",""
"Cambodia","2020","Kilowatt-hours, million","305.732",""
"Cameroon","2020","Kilowatt-hours, million","19.672",""
"Canada","2020","Kilowatt-hours, million","4846",""
"Central African Rep.","2020","Kilowatt-hours, million","0.43","1"
"Chile","2020","Kilowatt-hours, million","7971.25",""
"China","2020","Kilowatt-hours, million","260857",""
"Colombia","2020","Kilowatt-hours, million","200.796",""
"Congo","2020","Kilowatt-hours, million","1",""
"Cook Islands","2020","Kilowatt-hours, million","15.363","1"
"Costa Rica","2020","Kilowatt-hours, million","75.693",""
"Côte d'Ivoire","2020","Kilowatt-hours, million","11.1",""
"Croatia","2020","Kilowatt-hours, million","95.5",""
"Cuba","2020","Kilowatt-hours, million","192.992","1"
"Curaçao","2020","Kilowatt-hours, million","22.218",""
"Cyprus","2020","Kilowatt-hours, million","295.608",""
"Czechia","2020","Kilowatt-hours, million","2287.014",""
"Dem. Rep. of the Congo","2020","Kilowatt-hours, million","30.36",""
"Denmark","2020","Kilowatt-hours, million","1180.532",""
"Djibouti","2020","Kilowatt-hours, million","0.6","1"
"Dominica","2020","Kilowatt-hours, million","0.2","1"
"Dominican Republic","2020","Kilowatt-hours, million","433.912",""
"Ecuador","2020","Kilowatt-hours, million","37.76",""
"Egypt","2020","Kilowatt-hours, million","4430.2",""
"El Salvador","2020","Kilowatt-hours, million","904.1",""
"Eritrea","2020","Kilowatt-hours, million","12.638",""
"Estonia","2020","Kilowatt-hours, million","122.54",""
"Eswatini","2020","Kilowatt-hours, million","2.347","1"
"Ethiopia","2020","Kilowatt-hours, million","32.295",""
"Faeroe Islands","2020","Kilowatt-hours, million","1.6",""
"Falkland Is. (Malvinas)","2020","Kilowatt-hours, million","0.1","1"
"Fiji","2020","Kilowatt-hours, million","12.6","1"
"Finland","2020","Kilowatt-hours, million","218.471",""
"France","2020","Kilowatt-hours, million","13398.392",""
"French Polynesia","2020","Kilowatt-hours, million","41.6",""
"Gabon","2020","Kilowatt-hours, million","1.92",""
"Gambia","2020","Kilowatt-hours, million","3.572","1"
"Germany","2020","Kilowatt-hours, million","48641",""
"Ghana","2020","Kilowatt-hours, million","56.9",""
"Greece","2020","Kilowatt-hours, million","4446.854",""
"Grenada","2020","Kilowatt-hours, million","3.74",""
"Guam","2020","Kilowatt-hours, million","51.6",""
"Guatemala","2020","Kilowatt-hours, million","222.095",""
"Guernsey","2020","Kilowatt-hours, million","0.369",""
"Guinea-Bissau","2020","Kilowatt-hours, million","2","1"
"Guyana","2020","Kilowatt-hours, million","11.77",""
"Haiti","2020","Kilowatt-hours, million","3.444",""
"Honduras","2020","Kilowatt-hours, million","1112.812",""
"Hungary","2020","Kilowatt-hours, million","2459",""
"India","2020","Kilowatt-hours, million","61291","1"
"Indonesia","2020","Kilowatt-hours, million","9.46",""
"Iran (Islamic Rep. of)","2020","Kilowatt-hours, million","509.656",""
"Iraq","2020","Kilowatt-hours, million","57.305",""
"Ireland","2020","Kilowatt-hours, million","63.78",""
"Israel","2020","Kilowatt-hours, million","4162.997",""
"Italy","2020","Kilowatt-hours, million","24941.504",""
"Jamaica","2020","Kilowatt-hours, million","36.4",""
"Japan","2020","Kilowatt-hours, million","79086.858",""
"Jordan","2020","Kilowatt-hours, million","2852",""
"Kazakhstan","2020","Kilowatt-hours, million","1490.368",""
"Kenya","2020","Kilowatt-hours, million","88.4",""
"Kiribati","2020","Kilowatt-hours, million","5.1","1"
"Korea, Dem.Ppl's.Rep.","2020","Kilowatt-hours, million","16.185",""
"Korea, Republic of","2020","Kilowatt-hours, million","17967.196",""
"Kosovo","2020","Kilowatt-hours, million","10.46",""
"Kuwait","2020","Kilowatt-hours, million","180.06",""
"Lao People's Dem. Rep.","2020","Kilowatt-hours, million","41","1"
"Latvia","2020","Kilowatt-hours, million","4.847",""
"Lebanon","2020","Kilowatt-hours, million","120","1"
"Liberia","2020","Kilowatt-hours, million","4","1"
"Libya","2020","Kilowatt-hours, million","7.791",""
"Liechtenstein","2020","Kilowatt-hours, million","29.7",""
"Lithuania","2020","Kilowatt-hours, million","128.8",""
"Luxembourg","2020","Kilowatt-hours, million","161.261",""
"Madagascar","2020","Kilowatt-hours, million","32",""
"Malawi","2020","Kilowatt-hours, million","167.6",""
"Malaysia","2020","Kilowatt-hours, million","2429.604",""
"Maldives","2020","Kilowatt-hours, million","21","1"
"Mali","2020","Kilowatt-hours, million","92.727",""
"Malta","2020","Kilowatt-hours, million","236.837",""
"Marshall Islands","2020","Kilowatt-hours, million","2",""
"Mauritania","2020","Kilowatt-hours, million","140.01",""
"Mauritius","2020","Kilowatt-hours, million","145.58",""
"Mexico","2020","Kilowatt-hours, million","9115",""
"Micronesia (Fed. States of)","2020","Kilowatt-hours, million","2.98","1"
"Mongolia","2020","Kilowatt-hours, million","59",""
"Montenegro","2020","Kilowatt-hours, million","2.3",""
"Montserrat","2020","Kilowatt-hours, million","0.46",""
"Morocco","2020","Kilowatt-hours, million","1519.834",""
"Mozambique","2020","Kilowatt-hours, million","70.143",""
"Myanmar","2020","Kilowatt-hours, million","79.05",""
"Namibia","2020","Kilowatt-hours, million","369.156",""
"Nauru","2020","Kilowatt-hours, million","2.359",""
"Nepal","2020","Kilowatt-hours, million","0.87",""
"Netherlands","2020","Kilowatt-hours, million","8765.172",""
"New Caledonia","2020","Kilowatt-hours, million","150.5",""
"New Zealand","2020","Kilowatt-hours, million","160.216",""
"Nicaragua","2020","Kilowatt-hours, million","25.952",""
"Niger","2020","Kilowatt-hours, million","46","1"
"Nigeria","2020","Kilowatt-hours, million","41.988",""
"Niue","2020","Kilowatt-hours, million","0.48","1"
"North Macedonia","2020","Kilowatt-hours, million","23.536",""
"Northern Mariana Islands","2020","Kilowatt-hours, million","3","1"
"Norway","2020","Kilowatt-hours, million","26.521",""
"Oman","2020","Kilowatt-hours, million","127.548",""
"Other Asia","2020","Kilowatt-hours, million","6095.329",""
"Pakistan","2020","Kilowatt-hours, million","794.59",""
"Palau","2020","Kilowatt-hours, million","6","1"
"Panama","2020","Kilowatt-hours, million","318.1",""
"Papua New Guinea","2020","Kilowatt-hours, million","2",""
"Peru","2020","Kilowatt-hours, million","855.559",""
"Philippines","2020","Kilowatt-hours, million","1372.6",""
"Poland","2020","Kilowatt-hours, million","1957.916",""
"Portugal","2020","Kilowatt-hours, million","1715.59",""
"Puerto Rico","2020","Kilowatt-hours, million","259.4",""
"Republic of Moldova","2020","Kilowatt-hours, million","4",""
"Romania","2020","Kilowatt-hours, million","1733.375",""
"Russian Federation","2020","Kilowatt-hours, million","2022.4",""
"Rwanda","2020","Kilowatt-hours, million","18.1",""
"Samoa","2020","Kilowatt-hours, million","23.87",""
"Sao Tome and Principe","2020","Kilowatt-hours, million","0.4","1"
"Saudi Arabia","2020","Kilowatt-hours, million","830","1"
"Senegal","2020","Kilowatt-hours, million","384.95","1"
"Serbia","2020","Kilowatt-hours, million","13.261",""
"Seychelles","2020","Kilowatt-hours, million","5.7",""
"Sierra Leone","2020","Kilowatt-hours, million","6","1"
"Singapore","2020","Kilowatt-hours, million","622",""
"Slovakia","2020","Kilowatt-hours, million","663",""
"Slovenia","2020","Kilowatt-hours, million","368.196",""
"Solomon Islands","2020","Kilowatt-hours, million","3.46","1"
"Somalia","2020","Kilowatt-hours, million","24.2",""
"South Africa","2020","Kilowatt-hours, million","5031",""
"South Sudan","2020","Kilowatt-hours, million","11.044",""
"Spain","2020","Kilowatt-hours, million","20667",""
"Sri Lanka","2020","Kilowatt-hours, million","220.577",""
"St. Helena and Depend.","2020","Kilowatt-hours, million","0.987",""
"St. Kitts-Nevis","2020","Kilowatt-hours, million","3.06",""
"St. Lucia","2020","Kilowatt-hours, million","6.58",""
"St. Vincent-Grenadines","2020","Kilowatt-hours, million","2.91",""
"State of Palestine","2020","Kilowatt-hours, million","178",""
"Sudan","2020","Kilowatt-hours, million","21","1"
"Suriname","2020","Kilowatt-hours, million","10","1"
"Sweden","2020","Kilowatt-hours, million","1051",""
"Switzerland","2020","Kilowatt-hours, million","2598.659",""
"Thailand","2020","Kilowatt-hours, million","4636.09",""
"Timor-Leste","2020","Kilowatt-hours, million","1",""
"Togo","2020","Kilowatt-hours, million","7.662",""
"Tonga","2020","Kilowatt-hours, million","6.743",""
"Trinidad and Tobago","2020","Kilowatt-hours, million","4.671",""
"Tunisia","2020","Kilowatt-hours, million","333.199",""
"Türkiye","2020","Kilowatt-hours, million","10950.18",""
"Turks and Caicos Islands","2020","Kilowatt-hours, million","1.466","1"
"Tuvalu","2020","Kilowatt-hours, million","1.984","1"
"Uganda","2020","Kilowatt-hours, million","117.6",""
"Ukraine","2020","Kilowatt-hours, million","5969.4",""
"United Arab Emirates","2020","Kilowatt-hours, million","5475.3",""
"United Kingdom","2020","Kilowatt-hours, million","13157.994",""
"United Rep. of Tanzania","2020","Kilowatt-hours, million","51.448",""
"United States","2020","Kilowatt-hours, million","119328.543",""
"United States Virgin Is.","2020","Kilowatt-hours, million","25.1","1"
"Uruguay","2020","Kilowatt-hours, million","462",""
"Uzbekistan","2020","Kilowatt-hours, million","0.3",""
"Vanuatu","2020","Kilowatt-hours, million","7.13","1"
"Venezuela (Bolivar. Rep.)","2020","Kilowatt-hours, million","8.63",""
"Viet Nam","2020","Kilowatt-hours, million","9434",""
"Wallis and Futuna Is.","2020","Kilowatt-hours, million","0.16","1"
"Yemen","2020","Kilowatt-hours, million","489.8",""
"Zambia","2020","Kilowatt-hours, million","150.156",""
"Zimbabwe","2020","Kilowatt-hours, million","24.4",""

"fnSeqID","Footnote"
"1","Estimate"
