"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total solar production","2020","Kilowatt-hours, million","31.93",""
"Albania","Electricity - total solar production","2020","Kilowatt-hours, million","32.26",""
"Algeria","Electricity - total solar production","2020","Kilowatt-hours, million","665.22",""
"American Samoa","Electricity - total solar production","2020","Kilowatt-hours, million","5.21","1"
"Andorra","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Angola","Electricity - total solar production","2020","Kilowatt-hours, million","18",""
"Anguilla","Electricity - total solar production","2020","Kilowatt-hours, million","2.66","1"
"Antigua and Barbuda","Electricity - total solar production","2020","Kilowatt-hours, million","13.073","1"
"Argentina","Electricity - total solar production","2020","Kilowatt-hours, million","1344.589",""
"Armenia","Electricity - total solar production","2020","Kilowatt-hours, million","136.577",""
"Aruba","Electricity - total solar production","2020","Kilowatt-hours, million","11","1"
"Australia","Electricity - total solar production","2020","Kilowatt-hours, million","21033.194",""
"Australia","Electricity - total solar production","2000","Kilowatt-hours, million","38",""
"Austria","Electricity - total solar production","2020","Kilowatt-hours, million","2042.934",""
"Austria","Electricity - total solar production","2000","Kilowatt-hours, million","3",""
"Azerbaijan","Electricity - total solar production","2020","Kilowatt-hours, million","47.0015",""
"Bahamas","Electricity - total solar production","2020","Kilowatt-hours, million","2.82","1"
"Bahrain","Electricity - total solar production","2020","Kilowatt-hours, million","10","1"
"Bangladesh","Electricity - total solar production","2020","Kilowatt-hours, million","400.973",""
"Barbados","Electricity - total solar production","2020","Kilowatt-hours, million","68.66",""
"Belarus","Electricity - total solar production","2020","Kilowatt-hours, million","176",""
"Belgium","Electricity - total solar production","2020","Kilowatt-hours, million","5105.4",""
"Belize","Electricity - total solar production","2020","Kilowatt-hours, million","0.6",""
"Benin","Electricity - total solar production","2020","Kilowatt-hours, million","7.436",""
"Bermuda","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Bhutan","Electricity - total solar production","2020","Kilowatt-hours, million","0.385","1"
"Bolivia (Plur. State of)","Electricity - total solar production","2020","Kilowatt-hours, million","332.4",""
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2020","Kilowatt-hours, million","7.6",""
"Bosnia and Herzegovina","Electricity - total solar production","2020","Kilowatt-hours, million","45",""
"Botswana","Electricity - total solar production","2020","Kilowatt-hours, million","6.27",""
"Brazil","Electricity - total solar production","2020","Kilowatt-hours, million","10750",""
"British Virgin Islands","Electricity - total solar production","2020","Kilowatt-hours, million","0.4","1"
"Brunei Darussalam","Electricity - total solar production","2020","Kilowatt-hours, million","1.545",""
"Bulgaria","Electricity - total solar production","2020","Kilowatt-hours, million","1480.856",""
"Burkina Faso","Electricity - total solar production","2020","Kilowatt-hours, million","57.152",""
"Burundi","Electricity - total solar production","2020","Kilowatt-hours, million","7.93",""
"Cabo Verde","Electricity - total solar production","2020","Kilowatt-hours, million","6.53",""
"Cambodia","Electricity - total solar production","2020","Kilowatt-hours, million","305.732",""
"Cameroon","Electricity - total solar production","2020","Kilowatt-hours, million","19.672",""
"Canada","Electricity - total solar production","2020","Kilowatt-hours, million","4846",""
"Canada","Electricity - total solar production","2000","Kilowatt-hours, million","16",""
"Central African Rep.","Electricity - total solar production","2020","Kilowatt-hours, million","0.43","1"
"Chile","Electricity - total solar production","2020","Kilowatt-hours, million","7971.25",""
"China","Electricity - total solar production","2020","Kilowatt-hours, million","260857",""
"Colombia","Electricity - total solar production","2020","Kilowatt-hours, million","200.796",""
"Congo","Electricity - total solar production","2020","Kilowatt-hours, million","1",""
"Cook Islands","Electricity - total solar production","2020","Kilowatt-hours, million","15.363","1"
"Cook Islands","Electricity - total solar production","2000","Kilowatt-hours, million","0.061",""
"Costa Rica","Electricity - total solar production","2020","Kilowatt-hours, million","75.693",""
"Côte d'Ivoire","Electricity - total solar production","2020","Kilowatt-hours, million","11.1",""
"Croatia","Electricity - total solar production","2020","Kilowatt-hours, million","95.5",""
"Cuba","Electricity - total solar production","2020","Kilowatt-hours, million","192.992","1"
"Curaçao","Electricity - total solar production","2020","Kilowatt-hours, million","22.218",""
"Cyprus","Electricity - total solar production","2020","Kilowatt-hours, million","295.608",""
"Czechia","Electricity - total solar production","2020","Kilowatt-hours, million","2287.014",""
"Dem. Rep. of the Congo","Electricity - total solar production","2020","Kilowatt-hours, million","30.36",""
"Denmark","Electricity - total solar production","2020","Kilowatt-hours, million","1180.532",""
"Denmark","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Djibouti","Electricity - total solar production","2020","Kilowatt-hours, million","0.6","1"
"Dominica","Electricity - total solar production","2020","Kilowatt-hours, million","0.2","1"
"Dominica","Electricity - total solar production","2000","Kilowatt-hours, million","0.124",""
"Dominican Republic","Electricity - total solar production","2020","Kilowatt-hours, million","433.912",""
"Ecuador","Electricity - total solar production","2020","Kilowatt-hours, million","37.76",""
"Egypt","Electricity - total solar production","2020","Kilowatt-hours, million","4430.2",""
"El Salvador","Electricity - total solar production","2020","Kilowatt-hours, million","904.1",""
